"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Dee Eskridge","MIA","2.9","32.4","0.2","0.0","1.7","0.0","0.0","4.7"
"Lil'Jordan Humphrey","DEN","4.0","44.0","0.0","0.0","0.0","0.0","0.0","4.4"
"Brycen Tremayne","CAR","2.6","29.0","0.1","0.0","0.0","0.0","0.0","3.7"
"Nick Nash","WAS","3.0","35.0","0.0","0.0","0.0","0.0","0.0","3.5"
"DeAndre Carter","CLE","3.9","39.4","0.0","0.0","3.0","0.0","0.5","3.5"
"Mitch Tinsley","CIN","2.5","28.8","0.1","0.0","0.0","0.0","0.0","3.4"
"Malachi Corley","CLE","3.0","29.0","0.0","0.0","2.0","0.0","0.0","3.1"
"Konata Mumpfield","LAR","1.8","21.2","0.2","0.0","0.0","0.0","0.0","3.0"
"Anthony Gould","IND","1.8","22.8","0.1","0.0","2.5","0.0","0.0","2.8"
"Tyrell Shavers","BUF","1.5","20.1","0.1","0.0","0.0","0.0","0.0","2.8"
"Cedrick Wilson Jr.","MIA","2.0","22.0","0.0","0.0","6.0","0.0","0.0","2.8"
"Dante Pettis","NO","2.0","22.0","0.0","0.0","6.0","0.0","0.0","2.8"
"Kendrick Bourne","SF","2.0","22.0","0.0","0.0","5.0","0.0","0.0","2.7"
"Tyler Scott","LAR","2.0","22.0","0.0","0.0","5.0","0.0","0.0","2.7"
"Ashton Dulin","IND","1.7","19.4","0.1","0.0","1.7","0.0","0.0","2.6"
"Beaux Collins","NYG","1.7","19.1","0.1","0.0","0.0","0.0","0.0","2.5"
"Isaiah Williams","NYJ","1.0","14.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Ryan Miller","NYG","0.8","9.7","0.1","0.0","0.0","0.0","0.0","1.4"
"Xavier Smith","LAR","1.0","11.0","0.0","2.2","9.6","0.1","0.5","1.3"
"Braxton Berrios","HOU","1.0","10.5","0.0","0.0","2.5","0.0","0.0","1.3"
"Tank Dell","HOU","1.0","12.0","0.0","0.0","0.0","0.0","0.0","1.2"
"LaJohntay Wester","BAL","1.0","12.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Devin Duvernay","CHI","2.0","23.0","0.0","0.0","6.0","0.0","1.0","0.9"
"Jacob Cowing","SF","0.0","0.0","0.0","0.0","8.5","0.0","0.0","0.9"
"Jason Brownlee","KC","0.5","7.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Nikko Remigio","KC","0.5","6.5","0.0","0.0","0.0","0.0","0.0","0.7"
"Trent Taylor","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Sills V","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"D.J. Montgomery","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Treylon Burks","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Mingo","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Johnson","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bryce Ford-Wheaton","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bub Means","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joshua Cephus","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tahj Washington","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kameron Johnson","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ihmir Smith-Marsette","ARI","0.0","0.0","0.0","0.0","5.0","0.0","1.0","-1.5"
""
""
