"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"193","Josh Malone (FA)","6","0","4","16","4.0","0","0","1","12","0","0","4","2.8","0.7","0.0%"
"194","Darrius Shepherd (FA)","8","0","5","46","9.2","0","0","0","0","0","1","8","2.6","0.3","0.0%"
"195","Antonio Gandy-Golden (FA)","7","0","1","3","3.0","0","0","1","22","0","0","6","2.5","0.4","0.0%"
"196","Daurice Fountain (FA)","3","0","2","23","11.5","0","0","0","0","0","0","5","2.3","0.5","0.0%"
"197","Penny Hart (FA)","1","0","1","3","3.0","0","0","1","19","0","0","13","2.2","0.2","0.0%"
"198","Antonio Callaway (FA)","4","0","2","20","10.0","0","0","0","0","0","0","5","2.0","0.4","0.0%"
"199","Donte Moncrief (FA)","2","0","1","15","15.0","0","0","1","4","0","0","6","1.9","0.3","0.0%"
"200","Tommylee Lewis (FA)","3","0","1","5","5.0","0","0","2","14","0","0","5","1.9","0.4","0.0%"
"201","Deontay Burnett (FA)","4","0","3","19","6.3","0","0","0","0","0","0","2","1.9","1.0","0.0%"
"202","John Ross (FA)","7","0","2","17","8.5","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"203","Jaleel Scott (FA)","1","0","1","16","16.0","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"204","James Proche II (TEN)","3","0.6","1","14","14.0","0","0","0","0","0","0","14","1.4","0.1","0.0%"
"205","Vyncint Smith (FA)","3","0","1","13","13.0","0","0","0","0","0","0","7","1.3","0.2","0.0%"
"206","Keith Kirkwood (FA)","2","0","1","13","13.0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"207","Cody Hollister (FA)","1","0","1","12","12.0","0","0","0","0","0","0","2","1.2","0.6","0.0%"
"208","Marcus Kemp (FA)","1","0","1","11","11.0","0","0","0","0","0","0","10","1.1","0.1","0.0%"
"209","Bennie Fowler III (FA)","6","0","2","11","5.5","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"210","Gehrig Dieter (FA)","2","0","1","10","10.0","0","0","0","0","0","0","4","1.0","0.3","0.0%"
"211","Trenton Irwin (FA)","2","0","1","5","5.0","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"212","JoJo Natson (FA)","0","0","0","0","0","0","0","1","3","0","0","3","0.3","0.1","0.0%"
"213","Chris Rowland (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"214","Kristian Wilkerson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"215","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"216","Isaiah Coulter (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Matt Cole (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Dan Chisena (CAR)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"219","Tavon Austin (FA)","5","0","5","20","4.0","0","0","0","0","0","1","4","0.0","0.0","0.6%"
"220","Jordan Matthews (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"221","Matthew Slater (FA)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"222","Tony Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"223","Jeff Badet (FA)","1","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"224","Derrick Willies (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"225","Deon Cain (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"226","Trey Quinn (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"227","Rico Gafford (FA)","2","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"228","Justin Hardee Sr. (FA)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"229","Fred Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"230","Deante Burton (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"231","Cyril Grayson Jr. (FA)","3","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"232","Jason Moore Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"233","Alex Bachman (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"234","K.J. Osborn (FA)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","2.6%"
"235","Dezmon Patmon (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"236","Reggie Begelton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"237","Hakeem Butler (FA)","1","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"238","Malik Turner (SF)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"239","Stanley Morgan Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"240","Juwann Winfree (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"241","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.0%"
"242","Keelan Doss (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"243","Kevin White (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"244","Ty Montgomery II (FA)","6","0","3","27","9.0","0","0","19","101","0","0","6","0.0","0.0","0.0%"
"245","Tajae Sharpe (FA)","3","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"246","Duke Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"247","Marken Michel (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"248","Taywan Taylor (FA)","1","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"249","Johnny Holton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"250","Chris Moore (WAS)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.8%"
"251","Kendall Hinton (FA)","0","0","0","0","0","0","0","2","7","0","0","1","-0.8","-0.8","0.0%"
"252","Andre Roberts (FA)","5","0","4","34","8.5","0","0","1","-3","0","2","15","-0.9","-0.1","0.0%"
"253","DeAndre Carter (CLE)","2","0.4","1","8","8.0","0","0","0","0","0","1","13","-1.2","-0.1","0.0%"
"254","Dede Westbrook (FA)","1","0","1","4","4.0","0","0","0","0","0","1","2","-1.6","-0.8","0.0%"
"255","Nsimba Webster (FA)","0","0","0","0","0","0","0","0","0","0","1","16","-2.0","-0.1","0.0%"
"256","Dwayne Harris (FA)","0","0","0","0","0","0","0","0","0","0","1","3","-2.0","-0.7","1.2%"
""
""
