"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ronnie Rivers","LAR","0.0","4.0","0.0","1.0","7.0","0.0","0.0","1.1"
"DeeJay Dallas","JAC","0.0","8.0","0.0","1.5","11.0","0.0","0.5","0.9"
"Sione Vaki","DET","0.0","4.5","0.0","0.5","3.5","0.0","0.0","0.8"
"D'Ernest Johnson","NE","0.0","2.0","0.0","0.5","3.0","0.0","0.0","0.5"
"Ameer Abdullah","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Burton","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chase Edmonds","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trayveon Williams","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaontay Ingram","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gary Brightwell","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben VanSumeren","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deneric Prince","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathon Brooks","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"British Brooks","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
